"Resource","RuntimeClass","Started","StartDetail","Manifest","Files","SizeMB","StreamFiles","StreamMB","GitTrackedSource","DependencyHints","ContentSHA256","OriginLicense"
"[dev]/af_clothing_audit","INERT_EMPTY","False","","","0","0","0","0","False","","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","UNVERIFIED"
"[dev]/af_multiplayer_diagnostics","DEV_DISABLED","False","","fxmanifest.lua","4","0,01","0","0","False","""@vrp/lib/Utils.lua"", | dependency ""vrp""","F4CF1F6870F7B964FF8D56FE7D3D8E3DC42C475A8C1B8B0BAA8E7FC72B246453","UNVERIFIED"
"[dev]/af_vehicle_preview","DEV_DISABLED","False","","fxmanifest.lua","3","0,01","0","0","False","shared_script ""@vrp/lib/Utils.lua""","5F0D2F3E762A111C0FBE29B7899AF463A77FE6AEFB0F0AA5CDEE86715CAA234C","UNVERIFIED"
"[dev]/cds_finder","DEV_DISABLED","False","","fxmanifest.lua","4","0,04","0","0","False","","8C923BDFF074A8DE9092305075F894CC8810577198FF7099756ECDE6BC1D9FB5","UNVERIFIED"
"[empregos]/of_busjob","TRACKED_SOURCE","True","ensure of_busjob [DIRECT] line 50","fxmanifest.lua","7","0,06","0","0","True","dependency ""vrp"" | dependency ""target"" | ""@vrp/lib/Utils.lua"",","9FD94F4E6D67ABD96708B40CA8DFCBEEC0875FBEEA88F3AD784777123CD0AF7D","UNVERIFIED"
"[maps]/cfx-summerz","RUNTIME_EXTERNAL","True","start [maps] [GROUP] line 60","fxmanifest.lua","37","9,64","36","9,64","False","","D69755D61E84815A72B27A4700EE08A77A44A1144152E5F99B63295A516FAC5B","UNVERIFIED"
"[maps]/ed_carzone","RUNTIME_EXTERNAL","True","start [maps] [GROUP] line 60","fxmanifest.lua","26","11,44","24","11,44","False","","DC428A3C3974E685C864C4ADD2B801DE49D05FD89169E8C208017A06E9AF8E44","UNVERIFIED"
"[maps]/mansoes","RUNTIME_EXTERNAL","True","start [maps] [GROUP] line 60","fxmanifest.lua","157","99,47","156","99,47","False","","89A1CBE93042DF4AB6B331869B02A9710D06065AF1E2E46236E781D34EA852EC","UNVERIFIED"
"[maps]/mapas_extra","RUNTIME_EXTERNAL","True","start [maps] [GROUP] line 60","fxmanifest.lua","1348","484","1347","484","False","","62E6A6C19FD34C930804AFE0AA3D1F585A4EC3DB2EB3267D3B4E14825EB31704","UNVERIFIED"
"[maps]/mapPM","RUNTIME_EXTERNAL","True","start [maps] [GROUP] line 60","fxmanifest.lua","207","96,82","204","96,82","False","""@vrp/lib/utils.lua"",","EABC84B80910907386DA6BA223491F4332A43E3A3F905DE0588B04B804E6DA24","UNVERIFIED"
"[maps]/of_chapadao","RUNTIME_EXTERNAL","True","start [maps] [GROUP] line 60","fxmanifest.lua","229","50,36","227","50,36","False","dependency ""of_favelas_shared""","0DFBB3CA639FEDE814D3048C4DB89419BEACBDB6EBACF43C94E5E962D8293A9D","UNVERIFIED"
"[maps]/of_favela_cdd","RUNTIME_EXTERNAL","True","start [maps] [GROUP] line 60","fxmanifest.lua","166","20,02","164","20,02","False","dependency ""of_favelas_shared""","9506328F90B2A850828BC806C4575FE3910997809DD9CC0237019637E1114C36","UNVERIFIED"
"[maps]/of_favelas_shared","TRACKED_SOURCE_EXTERNAL_ASSETS","True","start [maps] [GROUP] line 60","fxmanifest.lua","90","65,28","86","65,28","True","dependency ""vrp"" | ""@vrp/lib/utils.lua"",","5FA89B7A0EC20C35921130F13A0018E324EB951CC8F66A63D3E4A940DE29EE39","UNVERIFIED"
"[maps]/PropertyShells","RUNTIME_EXTERNAL","True","start [maps] [GROUP] line 60","fxmanifest.lua","33","140,36","32","140,36","False","","6B55B10428B6940624E89C71B5F065852AD0E107826651F28AFBE86A3C0110BE","UNVERIFIED"
"[scripts]/admin","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","3","0,1","0","0","True","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","E8272F6B2799F4F636F8E6EA316E6DF2CBFD7E28EF60F44539E89A3168789050","UNVERIFIED"
"[scripts]/af_illegal_races","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","12","0,42","0","0","True","dependencies { | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"", | ""@vrp/config/Native.lua"",","B209708BA664F3436ED4F8D0F3C4FF77F68321C0E67E06B7A0D82BA7F5F8BEC5","UNVERIFIED"
"[scripts]/af_vampire_skill","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","17","0,09","0","0","True","""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","0E5088B0869DCD5FC19ED5530C304CA89533702E21560666EC289B807662A5C2","UNVERIFIED"
"[scripts]/af_witch_broom","TRACKED_SOURCE","True","start [scripts] [GROUP] line 43","fxmanifest.lua","10","0,09","0","0","True","dependency ""vrp"" | dependency ""of_magic_broom"" | dependency ""of_broom_proxy"" | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","95EEA4BF2EB9FA75C10EED08DB8618491ACD79FFB390FAD47B3718AD5A7BDD64","UNVERIFIED"
"[scripts]/animacoes","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","112","7,58","110","7,37","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"",","1147D006FE67C180027CBDC4241A62AF97AED30151A389E8263C466E19EF8570","UNVERIFIED"
"[scripts]/animals","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","3","0,01","0","0","False","""@vrp/config/Native.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","6E2DC79B6FCFC735F7E65CFF580437580A5F2B65C8058E945015CED386E9AAB8","UNVERIFIED"
"[scripts]/arena","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","8","0,02","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"",","930F7AF092F1A6296C50C9062BD6DDAC60729CE7D0E838C67C2059D32C805302","UNVERIFIED"
