"Map","Archetype","Hash","Kind","Ytyp","Asset","Texture","Physics","Status"
"deus","hash_307AA0E4","HASH_307AA0E4","direct","","[ydr]\barbeariavb.ydr","","","matched"
"deus","hash_307AA0E4","HASH_307AA0E4","Drawable","[ytyp]\detailrua1.ytyp","hash_307AA0E4","hash_B77608F1","hash_307AA0E4","defined"
"deus","hash_D656F75A","HASH_D656F75A","direct","","[ydr]\qsbalcao2.ydr","","","matched"
"deus","hash_D656F75A","HASH_D656F75A","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_D656F75A","hash_D656F75A","hash_D656F75A","defined"
"deus","hash_5EF5520E","HASH_5EF5520E","unknown","","","","","native_or_missing"
"deus","hash_97179E90","HASH_97179E90","unknown","","","","","native_or_missing"
"deus","hash_19ECD16A","HASH_19ECD16A","unknown","","","","","native_or_missing"
"deus","hash_F5710873","HASH_F5710873","unknown","","","","","native_or_missing"
"deus","hash_55AC9488","HASH_55AC9488","unknown","","","","","native_or_missing"
"deus","hash_C2FBD300","HASH_C2FBD300","unknown","","","","","native_or_missing"
"deus","hash_A5B043AD","HASH_A5B043AD","unknown","","","","","native_or_missing"
"deus","hash_9D42A76E","HASH_9D42A76E","unknown","","","","","native_or_missing"
"deus","hash_7786A8DA","HASH_7786A8DA","unknown","","","","","native_or_missing"
"deus","hash_59D615E8","HASH_59D615E8","unknown","","","","","native_or_missing"
"deus","hash_111091F7","HASH_111091F7","unknown","","","","","native_or_missing"
"deus","hash_D6FDC209","HASH_D6FDC209","unknown","","","","","native_or_missing"
"deus","hash_2F71C090","HASH_2F71C090","unknown","","","","","native_or_missing"
"deus","hash_714D93AE","HASH_714D93AE","unknown","","","","","native_or_missing"
"deus","hash_E9CE5291","HASH_E9CE5291","unknown","","","","","native_or_missing"
"deus","hash_92E05029","HASH_92E05029","unknown","","","","","native_or_missing"
"deus","hash_449E820B","HASH_449E820B","unknown","","","","","native_or_missing"
"deus","hash_A966A43D","HASH_A966A43D","unknown","","","","","native_or_missing"
"deus","hash_C41F32BF","HASH_C41F32BF","unknown","","","","","native_or_missing"
"deus","hash_FFE74F59","HASH_FFE74F59","direct","","[ydr]\quebradashopgraf218.ydr","","","matched"
"deus","hash_FFE74F59","HASH_FFE74F59","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_FFE74F59","hash_FFE74F59","hash_FFE74F59","defined"
"deus","hash_DA6B8462","HASH_DA6B8462","direct","","[ydr]\quebradashopgraf216.ydr","","","matched"
"deus","hash_DA6B8462","HASH_DA6B8462","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_DA6B8462","hash_DA6B8462","hash_DA6B8462","defined"
"deus","hash_80DB5053","HASH_80DB5053","direct","","[ydr]\quebradashopgraf206.ydr","","","matched"
"deus","hash_80DB5053","HASH_80DB5053","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_80DB5053","hash_80DB5053","hash_80DB5053","defined"
"deus","hash_8FD0E6B3","HASH_8FD0E6B3","unknown","","","","","native_or_missing"
"deus","hash_12EEC7A9","HASH_12EEC7A9","unknown","","","","","native_or_missing"
"deus","hash_A0768594","HASH_A0768594","unknown","","","","","native_or_missing"
"deus","hash_F6B0BE54","HASH_F6B0BE54","direct","","[ydr]\quebradashopgraf260.ydr","","","matched"
"deus","hash_F6B0BE54","HASH_F6B0BE54","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_F6B0BE54","hash_F6B0BE54","hash_F6B0BE54","defined"
"deus","hash_D863479C","HASH_D863479C","unknown","","","","","native_or_missing"
"deus","hash_FE270B70","HASH_FE270B70","unknown","","","","","native_or_missing"
"deus","hash_30E448AB","HASH_30E448AB","unknown","","","","","native_or_missing"
"deus","hash_003CBC3E","HASH_003CBC3E","unknown","","","","","native_or_missing"
"deus","hash_F9A0249B","HASH_F9A0249B","unknown","","","","","native_or_missing"
"deus","hash_F1B294C4","HASH_F1B294C4","unknown","","","","","native_or_missing"
"deus","hash_32EEF7C0","HASH_32EEF7C0","unknown","","","","","native_or_missing"
"deus","hash_25F05CAE","HASH_25F05CAE","unknown","","","","","native_or_missing"
"deus","hash_6F894259","HASH_6F894259","unknown","","","","","native_or_missing"
"deus","hash_A151C90C","HASH_A151C90C","unknown","","","","","native_or_missing"
"deus","hash_4A341CE2","HASH_4A341CE2","unknown","","","","","native_or_missing"
"deus","hash_8FB4BE83","HASH_8FB4BE83","unknown","","","","","native_or_missing"
"deus","hash_618CE28F","HASH_618CE28F","unknown","","","","","native_or_missing"
"deus","hash_89003171","HASH_89003171","unknown","","","","","native_or_missing"
"deus","hash_0F6D8395","HASH_0F6D8395","unknown","","","","","native_or_missing"
"deus","hash_44BECFD2","HASH_44BECFD2","unknown","","","","","native_or_missing"
"deus","hash_01B4E589","HASH_01B4E589","unknown","","","","","native_or_missing"
"deus","hash_D3C2F298","HASH_D3C2F298","unknown","","","","","native_or_missing"
"deus","hash_12C9A85C","HASH_12C9A85C","unknown","","","","","native_or_missing"
"deus","hash_75851C31","HASH_75851C31","unknown","","","","","native_or_missing"
"deus","hash_38872A83","HASH_38872A83","direct","","[ydr]\quebradashopgraf291.ydr","","","matched"
"deus","hash_38872A83","HASH_38872A83","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_38872A83","hash_38872A83","hash_38872A83","defined"
"deus","hash_62F2610C","HASH_62F2610C","direct","","[ydr]\tijoloqs1.ydr","","","matched"
"deus","hash_62F2610C","HASH_62F2610C","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_62F2610C","hash_DAC99FC2","hash_62F2610C","defined"
"deus","hash_C22D2CEF","HASH_C22D2CEF","unknown","","","","","native_or_missing"
"deus","hash_94212AE2","HASH_94212AE2","direct","","[ydr]\caixaqs3.ydr","","","matched"
"deus","hash_94212AE2","HASH_94212AE2","Drawable","[ytyp]\detailrua1.ytyp","hash_94212AE2","hash_94212AE2","hash_94212AE2","defined"
"deus","hash_565A2095","HASH_565A2095","direct","","[ydr]\caixaqs4b.ydr","","","matched"
"deus","hash_565A2095","HASH_565A2095","Drawable","[ytyp]\detailrua1.ytyp","hash_565A2095","hash_565A2095","hash_565A2095","defined"
"deus","hash_0628E1B3","HASH_0628E1B3","direct","","[ydr]\quebradashop14e.ydr","","","matched"
"deus","hash_0628E1B3","HASH_0628E1B3","Drawable","[ytyp]\favela_quebradashop.ytyp","hash_0628E1B3","hash_5BD1F89C","hash_0628E1B3","defined"
"deus","hash_BA525FD5","HASH_BA525FD5","direct","","[ydr]\qsbalcao.ydr","","","matched"
"deus","hash_BA525FD5","HASH_BA525FD5","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_BA525FD5","hash_BA525FD5","hash_BA525FD5","defined"
"deus","hash_A4F7B696","HASH_A4F7B696","unknown","","","","","native_or_missing"
"deus","hash_E32C6055","HASH_E32C6055","unknown","","","","","native_or_missing"
"deus","hash_5B5C4263","HASH_5B5C4263","unknown","","","","","native_or_missing"
"deus","hash_4B414082","HASH_4B414082","unknown","","","","","native_or_missing"
"deus","hash_720736E5","HASH_720736E5","unknown","","","","","native_or_missing"
"deus","hash_282E1D9C","HASH_282E1D9C","unknown","","","","","native_or_missing"
"deus","hash_9AE4D12B","HASH_9AE4D12B","unknown","","","","","native_or_missing"
"deus","hash_E6EAE263","HASH_E6EAE263","unknown","","","","","native_or_missing"
"deus","hash_D30A7BB3","HASH_D30A7BB3","unknown","","","","","native_or_missing"
"deus","hash_99FC2DE9","HASH_99FC2DE9","unknown","","","","","native_or_missing"
"deus","hash_040BD26A","HASH_040BD26A","unknown","","","","","native_or_missing"
"deus","hash_92F001A2","HASH_92F001A2","unknown","","","","","native_or_missing"
"deus","hash_806C3AF6","HASH_806C3AF6","unknown","","","","","native_or_missing"
"deus","hash_B7587711","HASH_B7587711","unknown","","","","","native_or_missing"
"deus","hash_4DE6A409","HASH_4DE6A409","unknown","","","","","native_or_missing"
"deus","hash_B388538B","HASH_B388538B","unknown","","","","","native_or_missing"
"deus","hash_F5D66055","HASH_F5D66055","unknown","","","","","native_or_missing"
"deus","hash_BE4C9620","HASH_BE4C9620","unknown","","","","","native_or_missing"
"deus","hash_E4B0AE85","HASH_E4B0AE85","unknown","","","","","native_or_missing"
"deus","hash_9970981E","HASH_9970981E","unknown","","","","","native_or_missing"
"deus","hash_99730BEA","HASH_99730BEA","unknown","","","","","native_or_missing"
"deus","hash_B17C93AD","HASH_B17C93AD","unknown","","","","","native_or_missing"
"deus","hash_3B21C5E7","HASH_3B21C5E7","unknown","","","","","native_or_missing"
"deus","hash_426A547C","HASH_426A547C","unknown","","","","","native_or_missing"
"deus","hash_D8FE9A9D","HASH_D8FE9A9D","unknown","","","","","native_or_missing"
"deus","hash_20DA9342","HASH_20DA9342","unknown","","","","","native_or_missing"
"deus","hash_ED3F3AD6","HASH_ED3F3AD6","unknown","","","","","native_or_missing"
"deus","hash_E94F008D","HASH_E94F008D","unknown","","","","","native_or_missing"
"deus","hash_D3C6D323","HASH_D3C6D323","unknown","","","","","native_or_missing"
"deus","hash_97D0969C","HASH_97D0969C","unknown","","","","","native_or_missing"
"deus","hash_87F4D2A1","HASH_87F4D2A1","direct","","[ydr]\quebradashop17a.ydr","","","matched"
"deus","hash_87F4D2A1","HASH_87F4D2A1","Drawable","[ytyp]\favela_quebradashop.ytyp","hash_87F4D2A1","hash_29E5B098","hash_87F4D2A1","defined"
"deus","hash_C2FF6D4F","HASH_C2FF6D4F","unknown","","","","","native_or_missing"
"deus","hash_5B76D222","HASH_5B76D222","unknown","","","","","native_or_missing"
"deus","hash_29CB0F3C","HASH_29CB0F3C","unknown","","","","","native_or_missing"
"deus","hash_44083A8F","HASH_44083A8F","unknown","","","","","native_or_missing"
"deus","hash_4BD5A672","HASH_4BD5A672","unknown","","","","","native_or_missing"
"deus","hash_B56C3FB8","HASH_B56C3FB8","unknown","","","","","native_or_missing"
"deus","hash_1EEB7E4A","HASH_1EEB7E4A","unknown","","","","","native_or_missing"
"deus","hash_4932F486","HASH_4932F486","unknown","","","","","native_or_missing"
"deus","hash_88E1FD6B","HASH_88E1FD6B","unknown","","","","","native_or_missing"
"deus","hash_69F24B9A","HASH_69F24B9A","unknown","","","","","native_or_missing"
"deus","hash_AB11CC80","HASH_AB11CC80","unknown","","","","","native_or_missing"
"deus","hash_2D9A5028","HASH_2D9A5028","unknown","","","","","native_or_missing"
"deus","hash_2B1E3BFB","HASH_2B1E3BFB","unknown","","","","","native_or_missing"
"deus","hash_A7E570CE","HASH_A7E570CE","unknown","","","","","native_or_missing"
"deus","hash_43D4EC63","HASH_43D4EC63","unknown","","","","","native_or_missing"
"deus","hash_9637BA84","HASH_9637BA84","unknown","","","","","native_or_missing"
"deus","hash_9C0759EC","HASH_9C0759EC","unknown","","","","","native_or_missing"
"deus","hash_B6818EE0","HASH_B6818EE0","unknown","","","","","native_or_missing"
"deus","hash_119A1C03","HASH_119A1C03","unknown","","","","","native_or_missing"
"deus","hash_C7209C78","HASH_C7209C78","direct","","[ydr]\qs_quadro1.ydr","","","matched"
"deus","hash_C7209C78","HASH_C7209C78","Drawable","[ydr]\qs_quadro.ytyp","hash_C7209C78","hash_F5EA76E1","hash_C7209C78","defined"
"deus","hash_0752F68A","HASH_0752F68A","unknown","","","","","native_or_missing"
"deus","hash_676AB38E","HASH_676AB38E","unknown","","","","","native_or_missing"
"deus","hash_95F357DB","HASH_95F357DB","unknown","","","","","native_or_missing"
"deus","hash_A11AD1D7","HASH_A11AD1D7","unknown","","","","","native_or_missing"
"deus","hash_EDD0E658","HASH_EDD0E658","unknown","","","","","native_or_missing"
"deus","hash_DA8E1DD7","HASH_DA8E1DD7","unknown","","","","","native_or_missing"
"deus","hash_0A312D63","HASH_0A312D63","unknown","","","","","native_or_missing"
"deus","hash_91173138","HASH_91173138","unknown","","","","","native_or_missing"
"deus","hash_B8814E33","HASH_B8814E33","unknown","","","","","native_or_missing"
"deus","hash_894E3B16","HASH_894E3B16","unknown","","","","","native_or_missing"
"deus","hash_F1DBF1EE","HASH_F1DBF1EE","direct","","[ydr]\qs_quadro2.ydr","","","matched"
"deus","hash_F1DBF1EE","HASH_F1DBF1EE","Drawable","[ydr]\qs_quadro.ytyp","hash_F1DBF1EE","hash_F5EA76E1","hash_F1DBF1EE","defined"
"deus","hash_A5C3F740","HASH_A5C3F740","unknown","","","","","native_or_missing"
"deus","hash_2DDA37E0","HASH_2DDA37E0","unknown","","","","","native_or_missing"
"deus","hash_5CDF8AF9","HASH_5CDF8AF9","unknown","","","","","native_or_missing"
"deus","hash_BB234358","HASH_BB234358","unknown","","","","","native_or_missing"
"deus","hash_7E27D7D5","HASH_7E27D7D5","unknown","","","","","native_or_missing"
"deus","hash_4486B0AA","HASH_4486B0AA","unknown","","","","","native_or_missing"
"deus","hash_E846D990","HASH_E846D990","unknown","","","","","native_or_missing"
"deus","hash_95C5226A","HASH_95C5226A","unknown","","","","","native_or_missing"
"deus","hash_BAE1AED4","HASH_BAE1AED4","direct","","[ydr]\qs_quadro.ydr","","","matched"
"deus","hash_BAE1AED4","HASH_BAE1AED4","Drawable","[ydr]\qs_quadro.ytyp","hash_BAE1AED4","hash_F5EA76E1","hash_BAE1AED4","defined"
"deus","hash_097D1470","HASH_097D1470","direct","","[ydr]\sky.ydr","","","matched"
"deus","hash_097D1470","HASH_097D1470","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_097D1470","hash_097D1470","hash_097D1470","defined"
"deus","hash_37507092","HASH_37507092","direct","","[ydr]\quebradashop_desmanche.ydr","","","matched"
"deus","hash_37507092","HASH_37507092","Drawable","[ytyp]\favela_quebradashop.ytyp","hash_37507092","hash_29E5B098","hash_37507092","defined"
"deus","hash_BB453063","HASH_BB453063","unknown","","","","","native_or_missing"
"deus","hash_F3CA5BCB","HASH_F3CA5BCB","unknown","","","","","native_or_missing"
"deus","hash_14697BB3","HASH_14697BB3","unknown","","","","","native_or_missing"
"deus","hash_10869547","HASH_10869547","unknown","","","","","native_or_missing"
"deus","hash_85D60DE1","HASH_85D60DE1","unknown","","","","","native_or_missing"
"deus","hash_CF90AAF0","HASH_CF90AAF0","unknown","","","","","native_or_missing"
"deus","hash_C196217F","HASH_C196217F","unknown","","","","","native_or_missing"
"deus","hash_D95F6691","HASH_D95F6691","unknown","","","","","native_or_missing"
"deus","hash_20E244E2","HASH_20E244E2","unknown","","","","","native_or_missing"
"deus","hash_5AEA8D3D","HASH_5AEA8D3D","unknown","","","","","native_or_missing"
"deus","hash_C971EA4A","HASH_C971EA4A","unknown","","","","","native_or_missing"
"deus","hash_35821C2C","HASH_35821C2C","unknown","","","","","native_or_missing"
"deus","hash_F1C995F0","HASH_F1C995F0","unknown","","","","","native_or_missing"
"deus","hash_5421E063","HASH_5421E063","unknown","","","","","native_or_missing"
"deus","hash_CB875040","HASH_CB875040","unknown","","","","","native_or_missing"
"deus","hash_CA6CB8F0","HASH_CA6CB8F0","unknown","","","","","native_or_missing"
"deus","hash_42CE3C8A","HASH_42CE3C8A","unknown","","","","","native_or_missing"
"deus","hash_9EC9A37C","HASH_9EC9A37C","unknown","","","","","native_or_missing"
"deus","hash_72178DBA","HASH_72178DBA","unknown","","","","","native_or_missing"
"deus","hash_4D6410F7","HASH_4D6410F7","unknown","","","","","native_or_missing"
"deus","hash_35EA695C","HASH_35EA695C","unknown","","","","","native_or_missing"
"deus","hash_B0F525BE","HASH_B0F525BE","unknown","","","","","native_or_missing"
"deus","hash_6B2E32C8","HASH_6B2E32C8","unknown","","","","","native_or_missing"
"deus","hash_0808CDB3","HASH_0808CDB3","unknown","","","","","native_or_missing"
"deus","hash_DDCE7F70","HASH_DDCE7F70","unknown","","","","","native_or_missing"
"deus","hash_821FC814","HASH_821FC814","unknown","","","","","native_or_missing"
"deus","hash_7B53A032","HASH_7B53A032","unknown","","","","","native_or_missing"
"deus","hash_8D9D44C5","HASH_8D9D44C5","unknown","","","","","native_or_missing"
"deus","hash_EEC4F2A2","HASH_EEC4F2A2","unknown","","","","","native_or_missing"
"deus","hash_39DA8649","HASH_39DA8649","unknown","","","","","native_or_missing"
"deus","hash_6B23AFF8","HASH_6B23AFF8","unknown","","","","","native_or_missing"
"deus","hash_88476B1F","HASH_88476B1F","unknown","","","","","native_or_missing"
"deus","hash_DC1F5D6A","HASH_DC1F5D6A","unknown","","","","","native_or_missing"
"deus","hash_809225F9","HASH_809225F9","unknown","","","","","native_or_missing"
"deus","hash_D591AAB4","HASH_D591AAB4","unknown","","","","","native_or_missing"
"deus","hash_1FF3CC2E","HASH_1FF3CC2E","unknown","","","","","native_or_missing"
