"Map","File","Entities","MinX","MinY","MinZ","MaxX","MaxY","MaxZ"
"chapadao","apa_ch2_02b_long_0.ymap","481","-798,4681","1409,20129","200,632675","-253,8284","1672,5011","389,995178"
"chapadao","apa_ch2_02b_long_2.ymap","467","-395,642029","1349,24756","203,128632","232,440186","1784,39478","375,996674"
"chapadao","apa_ch2_02b_strm_0.ymap","423","-792,652649","1353,96277","207,17746","219,877151","1952,87146","375,69"
"chapadao","apa_ch2_02_critical_2.ymap","458","-511,775421","1189,72266","212,62059","-196,872513","1550,27991","367,1836"
"chapadao","apa_ch2_02_critical_3.ymap","336","-256,103241","1196,64319","81,34811","240,873886","1571,12708","336,512756"
"chapadao","apa_ch2_02_long_1.ymap","480","-3354,06763","1162,46313","-2198,47754","-180,523331","3653,28418","390,721283"
"chapadao","apa_ch2_02_strm_7.ymap","393","-1000,06915","1378,04761","-215,562","-201,826279","2073,64038","367,583282"
"chapadao","complexodochapadao.ymap","1683","-565,6959","1438,2312","273,912842","-195,893448","1641,16711","404,179565"
"chapadao","complexodochapadao_occ.ymap","0","-564,760742","1432,10876","287,4643","430,975616","1653,91162","401,2472"
"chapadao","ruaquebradashop_obsvt.ymap","1","-452,096","1422,30408","303,251221","-200,416","1631,49585","375,8369"
"chapadao","comercio\adegavbchapadao.ymap","70","-271,6147","1488,45923","307,3813","-257,810181","1507,02466","347,451721"
"chapadao","comercio\bailechapadao2.ymap","139","-547,92926","1500,48328","374,3624","-520,371643","1548,84058","381,8239"
"chapadao","comercio\barbearianovachapadao.ymap","61","-307,1804","1594,46692","320,592651","-294,079","1608,09924","353,9727"
"chapadao","comercio\barlojachapadao.ymap","72","-483,411438","1518,50061","363,419281","-463,4013","1533,34192","402,13858"
"chapadao","comercio\conjuntodelojaschapadao.ymap","76","-450,065063","1629,77185","333,592","-422,860229","1641,135","358,0972"
"chapadao","comercio\conjuntodelojaschapadao2.ymap","43","-450,044159","1629,88354","349,387451","-424,741425","1640,87146","354,5132"
"chapadao","comercio\mototaxichapadaol.ymap","38","-258,4381","1496,78638","313,6381","-250,000687","1510,626","340,637665"
"chapadao","comercio\novacasabombachapadao.ymap","114","-488,904053","1604,08643","328,535126","-471,783783","1616,44","377,866028"
"chapadao","comercio\pizzariavbchapadao.ymap","41","-485,6059","1458,139","346,7804","-474,3142","1466,393","388,257172"
"chapadao","comercio\quebradashophousechapadao_milo_.ymap","2","-535,721741","1428,00439","359,455872","-489,334869","1475,44617","395,985931"
"chapadao","comercio\restaurantechapadao.ymap","95","-287,709839","1594,28076","312,625519","-276,326172","1609,749","361,776245"
"chapadao","espetinho\quebradashop_espetinho_milo_.ymap","2","-339,546722","1595,88586","343,120941","-328,98996","1608,79126","366,655975"
"chapadao","farmnovo\quebradashopfarmts_milo_.ymap","2","-433,575928","1518,83289","370,480438","-394,624725","1553,88342","403,994171"
