"Map","Scope","RelativePath","Extension","Bytes","SHA256"
"deus","exclusive","[mapas]\[faveladeus]\_manifestmorrodoadeus.ymf",".ymf","1276","D0C16D102F7DB6AA10C7DCD0225D78D7E4952D372AD02C9D4AC640B104D4FBAE"
"deus","exclusive","[mapas]\[faveladeus]\barbeariaquebradanovaadeus.ymap",".ymap","2772","AF635DFF79B8C46F2FEB023AEA08DC7D83D634F06BDA5A470A77AD3956C0272C"
"deus","exclusive","[mapas]\[faveladeus]\barnovoquebradaadeus.ymap",".ymap","2135","6F7869ADA2C70F368D08378602DA1613969A1D71058CB699343CE9E02306156F"
"deus","exclusive","[mapas]\[faveladeus]\casabombanovaadeus.ymap",".ymap","2566","A94212507784EBEB65819B36DCF143A892538046F0C1925FAFA7EE3BB2D090BF"
"deus","exclusive","[mapas]\[faveladeus]\desmancheqsnovoadeus.ymap",".ymap","2792","D81DB03AC9368C82B892BDADC77C9D923583A90E462E879FC12B6B3B1077960F"
"deus","exclusive","[mapas]\[faveladeus]\igrejanovaadeus.ymap",".ymap","1690","127C5F182F1FFB101805F26BB3FF581521E21B6FF5D28383A84E6CE3795AA6F7"
"deus","exclusive","[mapas]\[faveladeus]\lojaroupaquebradaadeus.ymap",".ymap","2028","80C93C141643D0831A66F146CF6EE46FFD197E73B6057963A0A75A3985A4E50E"
"deus","exclusive","[mapas]\[faveladeus]\mercadinhoadeus.ymap",".ymap","1708","F3B89AC0CC3DE3DE6AD846E0486B76A019435BBF8EE2250EFE75D9758A835A0C"
"deus","exclusive","[mapas]\[faveladeus]\morrodoadeus.ymap",".ymap","15470","E645226073B9A82561BC1D7C3AD111F9B8E9D22C9C79D2DE6856BC60B6DAB113"
"deus","exclusive","[mapas]\[faveladeus]\padarianovaadues.ymap",".ymap","2668","597E59A18B7D1F963AC0A5A4DDE4FA30137C21D395A51FBF8EA12ABCEFCBBA24"
"deus","exclusive","[ydr]\balcaocaixa.ydr",".ydr","51713","C3DC76C62161CA85A4332A88829A9F0C71A2CE0FC835F8CAB8F9FEC72BE84035"
"deus","exclusive","[ydr]\barbeariavb.ydr",".ydr","257623","014FCF26506D06D34E230C426325D0F4FAE0322ACE769B7285D50AF9C20AD700"
"deus","exclusive","[ydr]\caixaqs4b.ydr",".ydr","155306","F4FD1A7909D11F02DFE9BDABB2E27187D372EC033B8ACDD79D7811BE47F56649"
"deus","exclusive","[ydr]\casa13vb.ydr",".ydr","71748","804A3EA5D014A4B2AB7C9A33684B75C3B1F7F6BD213E5E9CDD85CB61CF703641"
"deus","exclusive","[ydr]\casa17vb1.ydr",".ydr","77805","6558F57B622DDC1AE374523BB58030081C3240178DF90D1B8EBCD1EF75B8C6B4"
"deus","exclusive","[ydr]\casa27vb.ydr",".ydr","176990","1AC900BEE59250FE2132DE0ABC155B9EDF3C16E20865EFC640633E7ECB743908"
"deus","exclusive","[ydr]\casa36vb.ydr",".ydr","61610","01307A28E4830617CEBE14BC145181A1B54A0967EC7C6E06A6F58728ED55367D"
"deus","exclusive","[ydr]\casa38vb.ydr",".ydr","75885","1183B1E732C81501073AE4B32C6F4B731C64F2C26EAF04C432D58CD325A8882B"
"deus","exclusive","[ydr]\casa7vb.ydr",".ydr","704249","59ADEFA1D338A521554D5133E312D4EF7841099D10C973C0582955F4A1B67E91"
"deus","exclusive","[ydr]\casagabe2.ydr",".ydr","160676","47F998B18D059D341B96CB1531493229709B16F7798350736A68055DAEA47E01"
