"Map","Archetype","Hash","Kind","Ytyp","Asset","Texture","Physics","Status"
"cdd","hash_307AA0E4","HASH_307AA0E4","direct","","[ydr]\barbeariavb.ydr","","","matched"
"cdd","hash_307AA0E4","HASH_307AA0E4","Drawable","[ytyp]\detailrua1.ytyp","hash_307AA0E4","hash_B77608F1","hash_307AA0E4","defined"
"cdd","hash_D656F75A","HASH_D656F75A","direct","","[ydr]\qsbalcao2.ydr","","","matched"
"cdd","hash_D656F75A","HASH_D656F75A","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_D656F75A","hash_D656F75A","hash_D656F75A","defined"
"cdd","hash_5EF5520E","HASH_5EF5520E","unknown","","","","","native_or_missing"
"cdd","hash_97179E90","HASH_97179E90","unknown","","","","","native_or_missing"
"cdd","hash_19ECD16A","HASH_19ECD16A","unknown","","","","","native_or_missing"
"cdd","hash_F5710873","HASH_F5710873","unknown","","","","","native_or_missing"
"cdd","hash_55AC9488","HASH_55AC9488","unknown","","","","","native_or_missing"
"cdd","hash_C2FBD300","HASH_C2FBD300","unknown","","","","","native_or_missing"
"cdd","hash_A5B043AD","HASH_A5B043AD","unknown","","","","","native_or_missing"
"cdd","hash_9D42A76E","HASH_9D42A76E","unknown","","","","","native_or_missing"
"cdd","hash_7786A8DA","HASH_7786A8DA","unknown","","","","","native_or_missing"
"cdd","hash_59D615E8","HASH_59D615E8","unknown","","","","","native_or_missing"
"cdd","hash_111091F7","HASH_111091F7","unknown","","","","","native_or_missing"
"cdd","hash_D6FDC209","HASH_D6FDC209","unknown","","","","","native_or_missing"
"cdd","hash_2F71C090","HASH_2F71C090","unknown","","","","","native_or_missing"
"cdd","hash_714D93AE","HASH_714D93AE","unknown","","","","","native_or_missing"
"cdd","hash_E9CE5291","HASH_E9CE5291","unknown","","","","","native_or_missing"
"cdd","hash_92E05029","HASH_92E05029","unknown","","","","","native_or_missing"
"cdd","hash_449E820B","HASH_449E820B","unknown","","","","","native_or_missing"
"cdd","hash_A966A43D","HASH_A966A43D","unknown","","","","","native_or_missing"
"cdd","hash_C41F32BF","HASH_C41F32BF","unknown","","","","","native_or_missing"
"cdd","hash_FFE74F59","HASH_FFE74F59","direct","","[ydr]\quebradashopgraf218.ydr","","","matched"
"cdd","hash_FFE74F59","HASH_FFE74F59","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_FFE74F59","hash_FFE74F59","hash_FFE74F59","defined"
"cdd","hash_DA6B8462","HASH_DA6B8462","direct","","[ydr]\quebradashopgraf216.ydr","","","matched"
"cdd","hash_DA6B8462","HASH_DA6B8462","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_DA6B8462","hash_DA6B8462","hash_DA6B8462","defined"
"cdd","hash_80DB5053","HASH_80DB5053","direct","","[ydr]\quebradashopgraf206.ydr","","","matched"
"cdd","hash_80DB5053","HASH_80DB5053","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_80DB5053","hash_80DB5053","hash_80DB5053","defined"
"cdd","hash_8FD0E6B3","HASH_8FD0E6B3","unknown","","","","","native_or_missing"
"cdd","hash_12EEC7A9","HASH_12EEC7A9","unknown","","","","","native_or_missing"
"cdd","hash_A0768594","HASH_A0768594","unknown","","","","","native_or_missing"
"cdd","hash_F6B0BE54","HASH_F6B0BE54","direct","","[ydr]\quebradashopgraf260.ydr","","","matched"
"cdd","hash_F6B0BE54","HASH_F6B0BE54","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_F6B0BE54","hash_F6B0BE54","hash_F6B0BE54","defined"
"cdd","hash_D863479C","HASH_D863479C","unknown","","","","","native_or_missing"
"cdd","hash_FE270B70","HASH_FE270B70","unknown","","","","","native_or_missing"
"cdd","hash_30E448AB","HASH_30E448AB","unknown","","","","","native_or_missing"
"cdd","hash_003CBC3E","HASH_003CBC3E","unknown","","","","","native_or_missing"
"cdd","hash_F9A0249B","HASH_F9A0249B","unknown","","","","","native_or_missing"
"cdd","hash_F1B294C4","HASH_F1B294C4","unknown","","","","","native_or_missing"
"cdd","hash_32EEF7C0","HASH_32EEF7C0","unknown","","","","","native_or_missing"
"cdd","hash_25F05CAE","HASH_25F05CAE","unknown","","","","","native_or_missing"
"cdd","hash_6F894259","HASH_6F894259","unknown","","","","","native_or_missing"
"cdd","hash_A151C90C","HASH_A151C90C","unknown","","","","","native_or_missing"
"cdd","hash_4A341CE2","HASH_4A341CE2","unknown","","","","","native_or_missing"
"cdd","hash_8FB4BE83","HASH_8FB4BE83","unknown","","","","","native_or_missing"
"cdd","hash_618CE28F","HASH_618CE28F","unknown","","","","","native_or_missing"
"cdd","hash_89003171","HASH_89003171","unknown","","","","","native_or_missing"
"cdd","hash_0F6D8395","HASH_0F6D8395","unknown","","","","","native_or_missing"
"cdd","hash_44BECFD2","HASH_44BECFD2","unknown","","","","","native_or_missing"
"cdd","hash_01B4E589","HASH_01B4E589","unknown","","","","","native_or_missing"
"cdd","hash_D3C2F298","HASH_D3C2F298","unknown","","","","","native_or_missing"
"cdd","hash_12C9A85C","HASH_12C9A85C","unknown","","","","","native_or_missing"
"cdd","hash_75851C31","HASH_75851C31","unknown","","","","","native_or_missing"
"cdd","hash_38872A83","HASH_38872A83","direct","","[ydr]\quebradashopgraf291.ydr","","","matched"
"cdd","hash_38872A83","HASH_38872A83","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_38872A83","hash_38872A83","hash_38872A83","defined"
"cdd","hash_62F2610C","HASH_62F2610C","direct","","[ydr]\tijoloqs1.ydr","","","matched"
"cdd","hash_62F2610C","HASH_62F2610C","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_62F2610C","hash_DAC99FC2","hash_62F2610C","defined"
"cdd","hash_C22D2CEF","HASH_C22D2CEF","unknown","","","","","native_or_missing"
"cdd","hash_94212AE2","HASH_94212AE2","direct","","[ydr]\caixaqs3.ydr","","","matched"
"cdd","hash_94212AE2","HASH_94212AE2","Drawable","[ytyp]\detailrua1.ytyp","hash_94212AE2","hash_94212AE2","hash_94212AE2","defined"
"cdd","hash_565A2095","HASH_565A2095","direct","","[ydr]\caixaqs4b.ydr","","","matched"
"cdd","hash_565A2095","HASH_565A2095","Drawable","[ytyp]\detailrua1.ytyp","hash_565A2095","hash_565A2095","hash_565A2095","defined"
"cdd","hash_9EB7754F","HASH_9EB7754F","direct","","[ydr]\quebradashopgraf503.ydr","","","matched"
"cdd","hash_9EB7754F","HASH_9EB7754F","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_9EB7754F","hash_9EB7754F","hash_9EB7754F","defined"
"cdd","hash_0628E1B3","HASH_0628E1B3","direct","","[ydr]\quebradashop14e.ydr","","","matched"
"cdd","hash_0628E1B3","HASH_0628E1B3","Drawable","[ytyp]\favela_quebradashop.ytyp","hash_0628E1B3","hash_5BD1F89C","hash_0628E1B3","defined"
"cdd","hash_BA525FD5","HASH_BA525FD5","direct","","[ydr]\qsbalcao.ydr","","","matched"
"cdd","hash_BA525FD5","HASH_BA525FD5","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_BA525FD5","hash_BA525FD5","hash_BA525FD5","defined"
"cdd","hash_A4F7B696","HASH_A4F7B696","unknown","","","","","native_or_missing"
"cdd","hash_E32C6055","HASH_E32C6055","unknown","","","","","native_or_missing"
"cdd","hash_5B5C4263","HASH_5B5C4263","unknown","","","","","native_or_missing"
"cdd","hash_4B414082","HASH_4B414082","unknown","","","","","native_or_missing"
"cdd","hash_720736E5","HASH_720736E5","unknown","","","","","native_or_missing"
