"Map","File","Entities","MinX","MinY","MinZ","MaxX","MaxY","MaxZ"
"cdd","barbeariaquebradanovacdd.ymap","74","2497,14722","2485,935","12,1836357","2508,716","2500,34229","52,8132477"
"cdd","barnovoquebradacdd.ymap","47","2524,46045","2408,60327","29,62049","2532,28931","2420,97754","58,72786"
"cdd","casabombanovacdd.ymap","67","2534,4292","2515,561","5,113777","2546,17383","2528,42676","49,4571152"
"cdd","escolacdd.ymap","72","2459,86719","2510,4292","9,016144","2482,42163","2524,965","63,8943863"
"cdd","favelacdd.ymap","665","2448,14331","2412,80054","-22,1542587","2604,81519","2590,34863","71,63813"
"cdd","igrejacdd.ymap","26","2482,10352","2443,71973","9,974941","2502,40674","2461,08643","56,76231"
"cdd","lojaroupaquebradacdd.ymap","34","2544,74414","2407,362","28,3562889","2559,07861","2422,464","62,7030869"
"cdd","mercadinhocdd.ymap","24","2466,14038","2499,66382","33,09796","2482,23","2515,8042","65,14213"
"cdd","oclusaocdd.ymap","0","2446,78418","2404,92","6,331002","2611,169","2581,6958","66,3106461"
"cdd","padarianovacdd.ymap","83","2475,74731","2423,555","22,6096058","2512,711","2521,30615","63,9975662"
"cdd","quebradashoprua_cdd.ymap","1","2474,41846","2420,10718","18,3775","2609,06152","2572,753","52,0208969"
"cdd","ultragazcdd.ymap","58","2462,418","2538,42114","45,4918442","2488,871","2564,469","57,5140457"
