"Bancada","Permissao","Produto","Quantidade","Requisitos"
"Essence","Publica","purple_essence","1","blue_essence:10"
"Essence","Publica","green_essence","1","purple_essence:10"
"Essence","Publica","red_essence","1","green_essence:10"
"Essence","Publica","pink_essence","1","red_essence:10"
"FoodRestaurante","Restaurante","nigirizushi","3","fishfillet:3; ricebag:1"
"FoodRestaurante","Restaurante","sushi","2","fishfillet:2; sugarbox:1"
"FoodRestaurante","Restaurante","cupcake","3","milkbottle:1; chocolate:1; sugarbox:1"
"FoodRestaurante","Restaurante","applelove","2","sugarbox:1; apple:1"
"FoodRestaurante","Restaurante","cookies","3","milkbottle:1; chocolate:1; sugarbox:1"
"FoodRestaurante","Restaurante","hamburger2","1","meatfillet:1; mayonnaise:1; ryebread:1"
"FoodRestaurante","Restaurante","hamburger3","1","meatfillet:1; mayonnaise:1; ryebread:1"
"FoodRestaurante","Restaurante","pizzamozzarella","1","milkbottle:1; ryebread:1; water:1; tomato:1"
"FoodRestaurante","Restaurante","pizzabanana","1","milkbottle:1; ryebread:1; water:1; banana:1"
"FoodRestaurante","Restaurante","pizzachocolate","1","milkbottle:1; ryebread:1; water:1; chocolate:1"
"DrinkRestaurante","Restaurante","milkshake","1","milkbottle:1; strawberry:1"
"DrinkRestaurante","Restaurante","cappuccino","1","milkbottle:1; chocolate:1; coffee:1"
"DrinkRestaurante","Restaurante","passionjuice","1","passion:2; water:1"
"DrinkRestaurante","Restaurante","tangejuice","1","tange:1; water:1"
"DrinkRestaurante","Restaurante","orangejuice","1","orange:1; water:1"
"DrinkRestaurante","Restaurante","applejuice","1","apple:1; water:1"
"DrinkRestaurante","Restaurante","grapejuice","1","grape:1; water:1"
"DrinkRestaurante","Restaurante","lemonjuice","1","lemon:1; water:1"
"DrinkRestaurante","Restaurante","bananajuice","1","banana:1; water:1"
"DrinkRestaurante","Restaurante","acerolajuice","1","acerola:1; water:1"
"DrinkRestaurante","Restaurante","strawberryjuice","1","strawberry:1; water:1"
"DrinkRestaurante","Restaurante","blueberryjuice","1","blueberry:1; water:1"
